VOLTAGE,CURRENT,PF,PowerConsumption_Zone1,WEEKEND/WEEKDAY,SEASON,Temp_(F),Humidity_(%),Datetime,hour,day,month,dayofweek,quarter,is_weekend,hour_sin,hour_cos,month_sin,month_cos,day_sin,day_cos,power_roll_mean_24,power_roll_std_24,power_roll_max_24,power_roll_min_24,power_lag_1,power_lag_24,power_lag_168,power_diff_1,power_diff_24,LSTM_Prediction,Actual_Power
11.4,90,0.95,1688.229922,0,0,83,35,2021-10-23 04:00:00,4,23,10,5,4,1,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1393.5394471416666,302.4522140529092,1718.730471,840.8959446,1500.64882,1076.567438,1356.057218,187.5811020000001,611.662484,1459.8741,1688.229922
11.6,102,0.95,1946.89439,0,0,83,35,2021-10-23 05:00:00,5,23,10,5,4,1,0.9659258262890683,0.25881904510252074,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1425.8682476416668,318.6639589289642,1946.89439,840.8959446,1688.229922,1171.003178,1374.382316,258.66446799999994,775.891212,1692.1759,1946.89439
11.3,108,0.95,2008.105065,0,0,86,30,2021-10-23 06:00:00,6,23,10,5,4,1,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1451.3039189333333,339.96486727326675,2008.105065,840.8959446,1946.89439,1397.648954,1848.444622,61.21067500000004,610.456111,1812.1827,2008.105065
11.3,112,0.95,2082.479327,0,0,86,30,2021-10-23 07:00:00,7,23,10,5,4,1,0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1479.8385178083333,363.21108565239086,2082.479327,840.8959446,2008.105065,1397.648954,1850.834852,74.37426200000004,684.830373,1885.0167,2082.479327
11.3,123,0.95,2287.008547,0,0,86,30,2021-10-23 08:00:00,8,23,10,5,4,1,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1504.3037354749997,396.8883837041934,2287.008547,840.8959446,2082.479327,1699.843323,1889.237882,204.5292199999999,587.1652239999999,1950.855,2287.008547
11.4,127,0.95,2382.280001,0,0,85,36,2021-10-23 09:00:00,9,23,10,5,4,1,0.7071067811865476,-0.7071067811865475,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1536.875383933333,435.34514168743993,2382.280001,840.8959446,2287.008547,1600.560438,1848.444622,95.27145400000018,781.7195630000001,2043.6654,2382.280001
11.4,132,0.95,2476.070552,0,0,85,36,2021-10-23 10:00:00,10,23,10,5,4,1,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1570.1792568500002,475.2564253966995,2476.070552,840.8959446,2382.280001,1676.777602,1848.444622,93.79055100000005,799.2929500000002,2067.647,2476.070552
11.4,134,0.95,2513.586773,0,0,85,36,2021-10-23 11:00:00,11,23,10,5,4,1,0.258819045102521,-0.9659258262890682,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1605.8402344333333,512.7425093103041,2513.586773,840.8959446,2476.070552,1657.723311,1823.904926,37.51622099999986,855.863462,2121.5325,2513.586773
11.4,136,0.95,2551.102993,0,0,74,79,2021-10-23 12:00:00,12,23,10,5,4,1,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1640.6826014749997,547.6950575809815,2551.102993,840.8959446,2513.586773,1714.886184,1839.361747,37.516219999999976,836.216809,2148.2356,2551.102993
11.5,126,0.95,2384.254539,0,0,74,79,2021-10-23 13:00:00,13,23,10,5,4,1,-0.2588190451025208,-0.9659258262890683,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1671.7486647666665,568.3324163195151,2551.102993,840.8959446,2551.102993,1638.66902,1839.361747,-166.84845399999995,745.585519,2154.38,2384.254539
